metric,aligned_cosine,random_cosine
Count,662.0,662.0
MEAN,0.8480162620544434,0.4215053915977478
Median,0.8647564649581909,0.4183639883995056
STD,0.09318441897630692,0.08637920022010803
MIN,0.2609170079231262,0.16615700721740723
MAX,1.0,0.7130420207977295
P5,0.698284387588501,0.2769254446029663
P10,0.7381822466850281,0.3188876807689667
P25,0.8012102842330933,0.36677950620651245
P75,0.908594012260437,0.47646674513816833
P90,0.9408785700798035,0.5286456942558289
P95,0.9646644592285156,0.5612914562225342
