metric,aligned_cosine,random_cosine
Count,662.0,662.0
MEAN,0.8790124654769897,0.4282640218734741
Median,0.8875020146369934,0.424996018409729
STD,0.06199517846107483,0.09000218659639359
MIN,0.42204999923706055,0.18656300008296967
MAX,1.0,0.7602459788322449
P5,0.776181161403656,0.2786305248737335
P10,0.8137472867965698,0.31967249512672424
P25,0.8550907373428345,0.371374249458313
P75,0.9150454998016357,0.49122872948646545
P90,0.9387879371643066,0.5405547618865967
P95,0.9561030864715576,0.5807638764381409
